Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.936894408227389,-12.061106626411489,1.640771776586007,-9.493540155939172,5.487639864868608 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.885455082522083,-12.03417127559334,1.590091870297556,-9.529963536981711,5.434121597790536 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.833840253485201,-12.008750297607526,1.5397819351444469,-9.565433519276042,5.380297713770027 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.7821552118266938,-11.984713549710735,1.4896693564006683,-9.599870472360522,5.326383711292013 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,4.736094745757223,-11.862779473306942,1.4763484057542087,-9.513750224974502,5.273590825489422 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,4.690252984899401,-11.740914589797537,1.4608800325553376,-9.41958943845043,5.222404674751536 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,4.645442369505414,-11.619027068698891,1.4456976577948809,-9.32458093180253,5.172595876445282 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.601490002340401,-11.497149015546054,1.431320081043566,-9.22933597060728,5.123785407877823 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.550574060708233,-11.49814380586172,1.3880323089268814,-9.23070976497354,5.074369760990137 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.500293139414029,-11.499085516693248,1.3457947148860968,-9.238722923687647,5.023640547272445 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.4494780379729079,-11.500069281269813,1.3037433675062858,-9.247319439449769,4.971880170653848 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.398354561154479,-11.501050947081295,1.2613325640689937,-9.256062540357619,4.919604488126948 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.349204493392381,-11.477893761727169,1.2124190886859197,-9.285337408214332,4.86747896469646 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.299939618283212,-11.455937302868165,1.1653858934670325,-9.314809478844382,4.815848461786887 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.250969135101813,-11.435098270542266,1.1187965737227046,-9.343503843262625,4.764696074295115 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.2022999435877079,-11.415310373271291,1.0727040537335029,-9.37128204623167,4.713909355639474 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,4.153069123499485,-11.366049701053257,1.0513089112344006,-9.319848248307722,4.663167809493013 
 01/01  07:30:00,-10.3,161.35837051552523,1.0,22.819555959623899,1.0,22.819555959623899,161.35837051552523,4.224903108970823,-9.692404734745593,1.3513292444023364,-8.99033913112379,4.630789498866742 
 01/01  07:45:00,-10.15,792.271216589312,1.0,109.75755355442667,1.0,109.75755355442667,792.271216589312,4.627052155983992,-3.3215799489408939,2.6292508503393607,-7.868924632682706,4.667871769857178 
 01/01  08:00:00,-10.0,1440.6601545316508,1.0,195.8764694434918,1.0,195.8764694434918,1440.6601545316508,5.138760517873298,3.1609450015201756,4.04617601088637,-6.7474382447127259,4.781733485036855 
